asdfasdfasdfasdfasdf
asdf
asdf
this is it 5[2018-07-30 22:31:59] STORAGE1 127.0.0.1:10001 qwe
[2018-07-30 22:32:49] STORAGE1 127.0.0.1:10001 qwe

[2018-07-30 22:36:37] STORAGE1 127.0.0.1:10001 qwe
[2018-07-30 22:36:51] STORAGE1 127.0.0.1:10001 qwe
[2018-07-30 22:40:23] STORAGE1 127.0.0.1:10001 qwe
[2018-07-30 22:40:25] STORAGE1 127.0.0.1:10001 called getattr
[2018-07-30 22:40:25] STORAGE1 127.0.0.1:10002 called getattr
[2018-07-30 22:56:58] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:56:58] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:10] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:10] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/dir1)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/dir1)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/file2.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/file2.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/.cx.txt.swp)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/.cx.txt.swp)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/.cx.txt.swo)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/.cx.txt.swo)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/a.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/a.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/bigdata.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/bigdata.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/10k.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/10k.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/dummy.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/dummy.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/ticket.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/ticket.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/100k.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/100k.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/small.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/small.txt)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:11] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called readdir (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10001 called getattr (/)
[2018-07-30 22:57:12] STORAGE1 127.0.0.1:10002 called getattr (/)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10001 called getattr (/a.txt)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10002 called getattr (/a.txt)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10001 called open (/a.txt)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10002 called open (/a.txt)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10001 called read (/a.txt)
[2018-07-30 22:57:18] STORAGE1 127.0.0.1:10002 called read (/a.txt)
[2018-07-30 23:02:11] STORAGE1 127.0.0.1:10001 connected  
[2018-07-30 23:02:11] STORAGE1 127.0.0.1:10002 connected  
[2018-07-30 23:05:12] STORAGE1 127.0.0.1:10001 connected  
[2018-07-30 23:05:12] STORAGE1 127.0.0.1:10002 connected  
[2018-07-30 23:05:19] STORAGE1 127.0.0.1:10001 called getattr  /
[2018-07-30 23:05:19] STORAGE1 127.0.0.1:10002 called getattr  /
[2018-07-30 23:05:26] STORAGE1 127.0.0.1:10001 called getattr  /
[2018-07-30 23:05:26] STORAGE1 127.0.0.1:10002 called getattr  /
[2018-07-30 23:05:26] STORAGE1 127.0.0.1:10001 called access  /
[2018-07-30 23:05:26] STORAGE1 127.0.0.1:10002 called access  /
[2018-07-30 23:05:27] STORAGE1 127.0.0.1:10001 called readdir  /
[2018-07-30 23:05:27] STORAGE1 127.0.0.1:10002 called readdir  /
[2018-07-30 23:05:27] STORAGE1 127.0.0.1:10001 called getattr  /dir1
[2018-07-30 23:05:27] STORAGE1 127.0.0.1:10002 called getattr  /dir1
